Month,Year,TotalVisitors,HotelOccupancyRate
Jul,2023,1419606,89.9
Jun,2023,1129295,80.5
May,2023,1112486,79.3
Apr,2023,1128594,77.1
Mar,2023,1021032,79.4
Feb,2023,957822,83.7
Jan,2023,931670,70.2
Dec,2022,931441,78
Nov,2022,816340,85.7
Oct,2022,816833,84.3
Sep,2022,782215,82.7
Aug,2022,728744,77
Jul,2022,726739,79.1
Jun,2022,543733,78.1
May,2022,418458,72.8
Apr,2022,295095,66.4
Mar,2022,121207,60.6
Feb,2022,67765,62.6
Jan,2022,57174,57.5
Dec,2021,92796,74.3
Nov,2021,41179,78
Oct,2021,24006,64.4
Sep,2021,19009,65.1
Aug,2021,15887,56.1
Jul,2021,18517,56.1
Jun,2021,10029,54.6
May,2021,14190,52.9
Apr,2021,25737,52.7
Mar,2021,27202,51.4
Feb,2021,18141,44.2
Jan,2021,23366,44.3
Dec,2020,24170,62
Nov,2020,14749,54.2
Oct,2020,13399,57.6
Sep,2020,9500,63.1
Aug,2020,8912,64.8
Jul,2020,6843,66.4
Jun,2020,2171,57
May,2020,880,59.3
Apr,2020,750,40.4
Mar,2020,240001,40.2
Feb,2020,732966,49.1
Jan,2020,1688102,83
Dec,2019,1724961,83
Nov,2019,1533668,88.8
Oct,2019,1530479,86.9
Sep,2019,1463543,87.1
Aug,2019,1736102,92.4
Jul,2019,1802593,93.9
Jun,2019,1551847,86.1
May,2019,1487791,82
Apr,2019,1596724,85.4
Mar,2019,1564664,84.3
Feb,2019,1499051,88.5
Jan,2019,1624593,84.7
Dec,2018,1603217,80.7
Nov,2018,1406985,84.9
Oct,2018,1467380,86.4
Sep,2018,1415149,85.3
Aug,2018,1683122,91.5
Jul,2018,1732896,92.4
Jun,2018,1544679,85.5
May,2018,1470891,82.6
Apr,2018,1544248,85.2
Mar,2018,1584406,87.2
Feb,2018,1491970,88
Jan,2018,1563359,83.4
