Region,Year,Tourists
  Southeast Asia,2023,3094097
  Greater China,2023,1052781
  North Asia,2023,540633
  South Asia,2023,751968
  West Asia,2023,89853
  Americas,2023,497668
  Europe,2023,932506
  Oceania,2023,707983
  Africa,2023,32383
  Southeast Asia,2022,2848921
  Greater China,2022,334439
  North Asia,2022,350042
  South Asia,2022,851238
  West Asia,2022,79628
  Americas,2022,406606
  Europe,2022,766718
  Oceania,2022,639313
  Africa,2022,28135
  Southeast Asia,2021,89150
  Greater China,2021,97331
  North Asia,2021,13054
  South Asia,2021,74329
  West Asia,2021,2247
  Americas,2021,13603
  Europe,2021,28959
  Oceania,2021,10802
  Africa,2021,552
  Southeast Asia,2020,896779
  Greater China,2020,481980
  North Asia,2020,215441
  South Asia,2020,218632
  West Asia,2020,20815
  Americas,2020,171252
  Europe,2020,489123
  Oceania,2020,234054
  Africa,2020,14364
  Southeast Asia,2019,6624323
  Greater China,2019,4571748
  North Asia,2019,1530353
  South Asia,2019,1713693
  West Asia,2019,168902
  Americas,2019,962711
  Europe,2019,2132809
  Oceania,2019,1320506
  Africa,2019,90966
  Southeast Asia,2018,6520966
  Greater China,2018,4342801
  North Asia,2018,1459611
  South Asia,2018,1745337
  West Asia,2018,163658
  Americas,2018,861717
  Europe,2018,2063284
  Oceania,2018,1267103
  Africa,2018,83805
  Southeast Asia,2017,6225114
  Greater China,2017,4116054
  North Asia,2017,1424416
  South Asia,2017,1559487
  West Asia,2017,174574
  Americas,2017,758653
  Europe,2017,1853903
  Oceania,2017,1235686
  Africa,2017,76711
  Southeast Asia,2016,6007480
  Greater China,2016,3821254
  North Asia,2016,1350878
  South Asia,2016,1378995
  West Asia,2016,180545
  Americas,2016,680644
  Europe,2016,1743071
  Oceania,2016,1168067
  Africa,2016,72409
  Southeast Asia,2015,5748155
  Greater China,2015,3125632
  North Asia,2015,1367113
  South Asia,2015,1277920
  West Asia,2015,165881
  Americas,2015,657286
  Europe,2015,1635876
  Oceania,2015,1186280
  Africa,2015,67302
  Southeast Asia,2014,6113076
  Greater China,2014,2722566
  North Asia,2014,1362448
  South Asia,2014,1200128
  West Asia,2014,170154
  Americas,2014,635269
  Europe,2014,1617377
  Oceania,2014,1207910
  Africa,2014,65934
  Southeast Asia,2013,6166395
  Greater China,2013,3186900
  North Asia,2013,1305803
  South Asia,2013,1190175
  West Asia,2013,156796
  Americas,2013,641445
  Europe,2013,1591341
  Oceania,2013,1261148
  Africa,2013,66487
  Southeast Asia,2012,5779608
  Greater China,2012,2814915
  North Asia,2012,1203821
  South Asia,2012,1132465
  West Asia,2012,146639
  Americas,2012,616368
  Europe,2012,1537509
  Oceania,2012,1189179
  Africa,2012,67819
  Southeast Asia,2011,5414250
  Greater China,2011,2307168
  North Asia,2011,1072195
  South Asia,2011,1091215
  West Asia,2011,154293
  Americas,2011,563740
  Europe,2011,1401654
  Oceania,2011,1093417
  Africa,2011,73238
